,date,value
290,2016-10-18,750
291,2016-10-19,770
292,2016-10-20,743
293,2016-10-21,890
294,2016-10-22,671
295,2016-10-23,574
296,2016-10-24,725
297,2016-10-25,855
298,2016-10-26,824
299,2016-10-27,818
300,2016-10-28,840
301,2016-10-29,678
302,2016-10-30,560
303,2016-10-31,691
304,2016-11-01,982
305,2016-11-02,931
306,2016-11-03,932
307,2016-11-04,914
308,2016-11-05,663
309,2016-11-06,649
310,2016-11-07,798
311,2016-11-08,891
312,2016-11-09,959
313,2016-11-10,916
314,2016-11-11,824
315,2016-11-12,684
316,2016-11-13,636
317,2016-11-14,815
318,2016-11-15,979
319,2016-11-16,1016
320,2016-11-17,853
321,2016-11-18,881
322,2016-11-19,704
323,2016-11-20,596
324,2016-11-21,810
325,2016-11-22,971
326,2016-11-23,951
327,2016-11-24,909
328,2016-11-25,953
329,2016-11-26,612
330,2016-11-27,553
331,2016-11-28,759
332,2016-11-29,928
333,2016-11-30,945
334,2016-12-01,894
335,2016-12-02,952
336,2016-12-03,751
337,2016-12-04,584
338,2016-12-05,786
339,2016-12-06,951
340,2016-12-07,985
341,2016-12-08,957
342,2016-12-09,953
343,2016-12-10,650
344,2016-12-11,505
345,2016-12-12,628
346,2016-12-13,736
347,2016-12-14,748
348,2016-12-15,672
349,2016-12-16,725
350,2016-12-17,558
351,2016-12-18,457
352,2016-12-19,554
353,2016-12-20,696
354,2016-12-21,720
355,2016-12-22,781
356,2016-12-23,779
357,2016-12-24,623
358,2016-12-25,443
359,2016-12-26,505
360,2016-12-27,668
361,2016-12-28,569
362,2016-12-29,732
363,2016-12-30,598
364,2016-12-31,581
365,2017-01-01,401
366,2017-01-02,550
367,2017-01-03,628
368,2017-01-04,780
369,2017-01-05,803
370,2017-01-06,484
371,2017-01-07,454
372,2017-01-08,548
373,2017-01-09,678
374,2017-01-10,523
375,2017-01-11,579
376,2017-01-12,595
377,2017-01-13,547
378,2017-01-14,424
379,2017-01-15,382
380,2017-01-16,583
381,2017-01-17,467
382,2017-01-18,429
383,2017-01-19,396
384,2017-01-20,310
385,2017-01-21,231
386,2017-01-22,193
387,2017-01-23,266
388,2017-01-24,255
389,2017-01-25,234
390,2017-01-26,202
391,2017-01-27,103
392,2017-01-28,101
393,2017-01-29,96
394,2017-01-30,116
395,2017-01-31,128
396,2017-02-01,177
397,2017-02-02,228
398,2017-02-03,196
399,2017-02-04,132
400,2017-02-05,152
401,2017-02-06,266
402,2017-02-07,260
403,2017-02-08,240
404,2017-02-09,264
405,2017-02-10,219
406,2017-02-11,158
407,2017-02-12,153
408,2017-02-13,316
409,2017-02-14,314
410,2017-02-15,322
411,2017-02-16,371
412,2017-02-17,314
413,2017-02-18,262
414,2017-02-19,248
415,2017-02-20,489
416,2017-02-21,464
417,2017-02-22,465
418,2017-02-23,573
419,2017-02-24,448
420,2017-02-25,282
421,2017-02-26,303
422,2017-02-27,362
423,2017-02-28,468
424,2017-03-01,662
425,2017-03-02,579
426,2017-03-03,410
427,2017-03-04,376
428,2017-03-05,465
429,2017-03-06,612
430,2017-03-07,561
431,2017-03-08,492
432,2017-03-09,498
433,2017-03-10,462
434,2017-03-11,460
435,2017-03-12,532
436,2017-03-13,696
437,2017-03-14,693
438,2017-03-15,620
439,2017-03-16,569
440,2017-03-17,477
441,2017-03-18,398
442,2017-03-19,484
443,2017-03-20,656
444,2017-03-21,649
445,2017-03-22,619
446,2017-03-23,561
447,2017-03-24,531
448,2017-03-25,522
449,2017-03-26,611
450,2017-03-27,681
451,2017-03-28,630
452,2017-03-29,618
453,2017-03-30,616
454,2017-03-31,508
455,2017-04-01,389
456,2017-04-02,447
457,2017-04-03,441
458,2017-04-04,453
459,2017-04-05,549
460,2017-04-06,539
461,2017-04-07,534
462,2017-04-08,467
463,2017-04-09,584
