date,2016,2017,2018,2019,2020,2021,2022
06-07,352,545,490,417,1278,2382,2051
06-08,311,502,377,445,1718,2440,1778
06-09,297,383,428,614,1631,2461,1762
06-10,235,309,426,730,1732,2182,1549
06-11,256,334,650,567,1548,2176,1174
06-12,299,434,600,556,1324,2024,1373
06-13,357,404,552,565,1146,1867,1918
06-14,441,474,481,503,1358,2128,1747
06-15,412,406,466,447,1809,2856,1948
06-16,416,389,415,455,1696,2761,2033
06-17,373,285,355,660,1940,2583,2177
06-18,338,300,383,481,1633,1771,1261
06-19,243,456,527,438,1564,1530,1407
06-20,291,408,555,445,1342,1654,1850
06-21,382,392,475,480,1166,2496,1747
06-22,367,355,597,394,1664,2413,1629
06-23,385,300,468,392,1468,2335,1501
06-24,292,281,448,544,1246,2180,1417
06-25,357,245,597,505,1010,2047,948
06-26,253,392,541,427,924,1652,1065
06-27,185,345,450,452,1000,1761,1490
06-28,304,328,469,470,1012,2436,1348
06-29,384,326,460,374,1313,2589,1614
06-30,278,305,381,427,1315,3098,2094
07-01,289,232,469,530,1340,4170,1843
07-02,327,270,798,463,1338,3205,1201
07-03,227,405,682,509,1191,2511,1342
07-04,228,344,629,472,915,2504,2549
07-05,370,295,643,487,1038,3167,2159
07-06,313,258,566,430,1752,3064,2042
07-07,309,285,531,375,1425,2904,1745
07-08,296,215,490,455,1314,3425,1624
07-09,264,247,674,524,1284,2767,1590
07-10,204,331,627,431,1289,2452,1639
07-11,235,313,587,401,1192,2394,1962
07-12,312,319,523,381,1319,3419,1832
07-13,280,296,470,330,1500,2967,1763
07-14,280,262,474,345,1308,2853,1791
07-15,321,206,483,383,1413,2756,1823
07-16,271,247,568,427,1414,2349,1364
07-17,203,350,568,369,1344,2132,1580
07-18,275,321,529,400,1154,2147,1774
07-19,330,306,539,401,1427,3006,1711
07-20,359,318,534,361,1426,2803,1783
07-21,320,293,554,355,1500,2618,1529
07-22,324,232,548,428,1448,2762,1482
07-23,280,265,673,451,1316,2291,1441
07-24,228,336,576,480,1176,2121,1621
07-25,252,294,598,468,1055,2155,1813
07-26,344,267,531,396,1295,2367,1787
07-27,315,281,544,388,1412,2320,1842
07-28,309,259,492,418,1344,2150,1670
07-29,335,204,542,469,1225,2278,1647
07-30,265,267,598,426,1251,1983,1539
07-31,190,304,564,435,1271,1752,1655
08-01,253,286,552,449,1261,1819,1550
08-02,327,275,518,436,1300,2080,1435
08-03,312,274,465,398,1393,1977,1432
08-04,295,253,381,327,1243,2014,1353
08-05,289,168,482,393,1257,2127,1421
08-06,285,184,544,389,1080,2044,1238
08-07,200,261,498,334,1165,1835,1466
08-08,251,274,445,332,1135,1715,1589
08-09,318,259,479,366,1283,2082,1556
08-10,266,217,470,313,1284,2172,1561
08-11,285,210,420,295,1292,2222,1520
08-12,288,161,411,416,1319,1992,1521
08-13,252,169,518,394,1195,1927,1310
08-14,204,265,524,399,1136,1714,1591
08-15,265,224,506,435,1081,1887,1860
08-16,302,253,507,345,1189,2098,1609
08-17,295,365,418,368,1281,1954,1497
08-18,294,261,378,354,1243,1960,1512
08-19,272,156,499,435,1297,2028,1707
08-20,231,188,548,483,1227,1882,1394
08-21,204,234,495,478,1255,1814,1665
08-22,242,254,512,458,1032,1836,1690
08-23,299,218,542,456,1121,1945,1597
08-24,308,219,500,514,1242,1866,1629
08-25,306,230,420,408,1167,1920,1654
08-26,285,182,452,483,1211,1937,1952
08-27,259,200,492,456,1158,1585,1324
08-28,179,236,455,479,1309,1317,1209
08-29,182,212,461,485,1010,1754,1701
08-30,256,194,458,538,1077,2060,1860
08-31,337,190,428,483,1382,2254,2277
09-01,378,201,343,383,1470,2095,2219
09-02,251,128,354,406,1471,2059,1931
09-03,279,144,342,445,1524,1805,1150
09-04,191,278,406,411,1667,1333,1052
09-05,201,226,345,409,1425,1534,1504
09-06,271,222,336,391,1338,2020,1738
09-07,322,216,318,402,1718,2500,1580
09-08,313,202,257,397,1634,1919,1788
09-09,293,143,255,712,1919,2243,751
09-10,244,177,560,710,1782,1720,637
09-11,242,335,516,733,1529,1566,1163
09-12,267,341,603,635,1258,1791,2297
09-13,267,392,455,446,1326,1947,2243
09-14,422,473,417,421,2030,1983,2300
09-15,459,421,345,580,1772,1667,2484
09-16,266,264,449,834,2224,2711,2439
09-17,249,302,715,702,1980,2161,1179
09-18,306,509,636,788,2059,1291,1652
09-19,393,570,511,747,1191,1098,2735
09-20,664,496,515,763,1415,1162,2397
09-21,615,478,495,606,1940,1662,2347
09-22,616,443,352,692,1594,2172,2926
09-23,708,369,372,1057,1838,2789,2445
09-24,554,382,553,911,1866,1918,1501
09-25,475,654,706,873,1909,1365,1829
09-26,612,679,785,739,1578,1852,2370
09-27,703,649,670,723,1246,3007,2196
09-28,783,658,741,652,2104,2835,2449
09-29,730,635,630,781,1785,2581,2529
09-30,712,592,764,1081,1690,3290,2595
10-01,520,588,1060,998,948,1957,1284
10-02,448,755,871,967,926,1369,1651
10-03,539,656,807,861,955,1718,2720
10-04,658,559,843,833,1326,2806,2227
10-05,675,640,729,887,1988,2670,2330
10-06,692,549,702,893,1868,2263,2039
10-07,716,510,969,1032,1751,2307,1721
10-08,574,485,1052,1005,1589,1740,1076
10-09,508,558,710,935,1097,1248,1175
10-10,544,592,675,777,1100,1359,1397
10-11,753,696,832,646,1486,1705,2110
10-12,846,683,745,618,1754,2086,1765
10-13,726,603,687,942,1540,2135,1982
10-14,865,539,864,1244,1595,2039,2244
10-15,667,620,1010,1167,1731,2213,1697
10-16,595,788,895,1080,2088,1601,2166
10-17,604,833,828,1112,1279,2052,2815
10-18,750,758,837,1255,1654,2992,2445
10-19,770,673,732,1060,2147,2796,2079
10-20,743,638,633,1136,1869,2563,2275
10-21,890,544,832,1432,1989,2895,2016
10-22,671,656,986,1332,1830,2531,1343
10-23,574,761,781,1243,2087,1715,1799
10-24,725,757,709,1258,1393,2076,2261
10-25,855,635,661,1073,1791,3055,2201
10-26,824,590,616,936,2454,2973,1914
10-27,818,624,627,1062,1944,2444,2040
10-28,840,550,808,1433,1906,2603,1896
10-29,678,638,886,1249,1770,2105,1464
10-30,560,838,769,1262,1978,1683,1777
10-31,691,718,722,1281,1212,2043,2377
11-01,982,721,686,1122,1641,2421,2267
11-02,931,692,684,1008,2041,2528,2133
11-03,932,610,578,1146,1776,2247,2269
11-04,914,533,756,1233,1966,2305,1994
11-05,663,588,920,1274,1755,2059,1346
11-06,649,785,683,1159,1828,1611,1747
11-07,798,743,643,1147,1381,1946,2312
11-08,891,698,617,965,1853,2530,2395
11-09,959,632,692,882,2063,2402,1919
11-10,916,579,556,1047,1695,2133,1983
11-11,824,574,737,1404,1788,2264,1773
11-12,684,630,883,1299,1632,2022,1298
11-13,636,759,903,1440,1760,1478,1549
11-14,815,678,903,1303,1284,1808,2344
11-15,979,664,920,1130,1576,2585,2211
11-16,1016,629,842,905,2183,2201,1850
11-17,853,631,647,1026,1762,1814,2050
11-18,881,507,845,1211,1815,2226,1957
11-19,704,675,947,1112,1853,2128,1207
11-20,596,792,816,1113,1823,1290,1607
11-21,810,697,747,1071,1171,1813,2380
11-22,971,750,578,932,1500,2531,1738
11-23,951,633,424,726,1685,2375,1739
11-24,909,533,363,928,1511,1793,1577
11-25,953,491,595,1229,1570,1956,1858
11-26,612,607,761,1087,1526,1888,1052
11-27,553,709,661,962,1655,1379,1418
11-28,759,659,655,1222,1160,1707,2025
11-29,928,586,642,1267,1578,1944,1763
11-30,945,573,677,893,1910,1758,1614
12-01,894,559,512,1024,1608,1439,1509
12-02,952,480,693,1166,1524,1727,1543
12-03,751,580,1026,1123,1400,1728,1099
12-04,584,656,711,1082,1581,1403,1612
12-05,786,606,639,1081,1292,1733,2280
12-06,951,504,566,996,1568,2376,1886
12-07,985,470,510,698,2075,2320,1690
12-08,957,409,387,853,1762,2020,1885
12-09,953,358,529,1006,1725,2255,1771
12-10,650,433,646,990,1608,1814,1221
12-11,505,644,679,965,1698,1331,1696
12-12,628,524,509,999,1166,1674,2060
12-13,736,486,546,862,1572,2146,1866
12-14,748,412,496,671,1792,2092,1754
12-15,672,473,342,845,1572,1784,1799
12-16,725,343,426,901,1677,1910,1768
12-17,558,379,578,941,1605,1622,1144
12-18,457,620,534,831,1484,1259,1314
12-19,554,538,511,892,1197,1528,1902
12-20,696,478,580,709,1511,2236,1839
12-21,720,454,436,624,1698,2033,1671
12-22,781,410,328,772,1820,1788,1470
12-23,779,302,428,891,1664,1838,1471
12-24,623,354,499,812,1492,1413,896
12-25,443,558,463,735,1381,1095,1135
12-26,505,501,456,822,1096,1418,1731
12-27,668,445,447,758,1328,2151,2012
12-28,569,499,465,667,1642,1792,1566
12-29,732,425,336,700,1362,1445,1853
12-30,598,308,353,860,1449,1416,1698
12-31,581,270,265,686,1114,820,821
